date;steps;distance;runDistance;calories
2018-08-28;6402;4597;498;156
2018-08-29;7173;4896;320;155
2018-08-30;4812;3291;425;110
2018-08-31;5457;3739;423;124
2018-09-01;10015;7625;3071;324
2018-09-02;9078;7065;2752;303
2018-09-03;5578;3787;524;125
2018-09-04;6118;4373;399;151
2018-09-05;11576;8977;4326;401
2018-09-06;4768;3321;459;109
2018-09-07;7885;6187;3143;286
2018-09-08;4967;3601;392;121
2018-09-09;4971;3350;434;118
2018-09-10;10740;7407;762;247
2018-09-11;5490;3721;707;132
2018-09-12;16741;11582;447;362
2018-09-13;21248;14752;512;458
2018-09-14;13586;9658;215;300
2018-09-15;13266;9283;492;293
2018-09-16;10533;7290;228;226
2018-09-17;13678;9621;407;307
2018-09-18;17908;12873;278;411
2018-09-19;12216;8601;319;279
2018-09-20;14416;10355;284;338
2018-09-21;8817;6402;220;210
2018-09-22;11225;7734;364;250
2018-09-23;23197;16525;521;517
2018-09-24;3710;2507;390;88
2018-09-25;4074;2757;411;99
2018-09-26;4573;3249;291;111
2018-09-27;4455;3031;440;100
2018-09-28;2945;2035;212;68
2018-09-29;7010;5085;1673;192
2018-09-30;7159;5288;1811;212
2018-10-01;6376;4693;1418;186
2018-10-02;5890;4066;489;136
2018-10-03;2236;1520;239;53
2018-10-04;12641;9661;364;314
2018-10-05;5217;3586;331;116
2018-10-06;11015;7542;323;232
2018-10-07;5032;3467;331;113
2018-10-08;7385;5182;565;170
2018-10-09;9185;6656;595;233
2018-10-10;14290;10853;477;384
2018-10-11;7053;4924;429;159
2018-10-12;4209;2909;662;102
2018-10-13;12427;9460;259;313
2018-10-14;1848;1260;205;44
2018-10-15;5206;3734;319;128
2018-10-16;6717;4627;587;156
2018-10-17;8197;5686;296;182
2018-10-18;6145;4280;378;136
2018-10-19;8643;6197;510;211
2018-10-20;5603;3815;648;128
2018-10-21;6924;4708;504;149
2018-10-22;8111;5963;500;200
2018-10-23;4455;3019;349;101
2018-10-24;2579;1795;227;59
2018-10-25;4630;3146;528;103
2018-10-26;5558;3807;350;122
2018-10-27;5086;3554;365;111
2018-10-28;10607;7273;733;226
2018-10-29;4305;2916;348;96
2018-10-30;12203;8992;464;293
2018-10-31;8302;5907;398;197
2018-11-01;7230;5188;500;174
2018-11-02;7613;5368;419;172
2018-11-03;5187;3565;481;118
2018-11-04;8021;5403;686;174
2018-11-05;4472;3112;257;104
2018-11-06;5038;3432;250;108
2018-11-07;8102;5468;699;169
2018-11-08;8451;6100;431;211
2018-11-09;4755;3216;325;96
2018-11-10;2316;1560;185;56
2018-11-11;1796;1208;165;42
2018-11-12;2064;1389;245;49
2018-11-13;5683;4009;364;134
2018-11-14;2623;1785;284;62
2018-11-15;5054;3476;359;110
2018-11-16;6048;4172;645;137
2018-11-17;5095;3453;418;107
2018-11-18;7814;5489;563;185
2018-11-19;12764;9016;683;298
2018-11-20;13059;9661;734;342
2018-11-21;10167;7432;556;262
2018-11-22;10065;7387;380;243
2018-11-23;15051;11086;689;370
2018-11-24;19631;14469;341;463
2018-11-25;8524;6335;359;214
2018-11-26;8301;5896;344;198
2018-11-27;7836;5856;356;208
2018-11-28;10515;8154;454;303
2018-11-29;10310;7518;701;256
2018-11-30;10750;7870;587;271
2018-12-01;9705;7070;641;267
2018-12-02;17561;12989;454;426
2018-12-03;9083;6581;452;224
2018-12-04;11125;8135;738;285
2018-12-05;11448;8203;928;288
2018-12-06;9643;7074;611;256
2018-12-07;10575;7427;957;245
2018-12-08;20082;15251;616;550
2018-12-09;13514;9918;1175;393
2018-12-10;11369;8373;550;288
2018-12-11;10940;7911;572;277
2018-12-12;15996;11489;854;378
2018-12-13;7808;5538;666;199
2018-12-14;11025;7935;637;284
2018-12-15;6340;4572;534;183
2018-12-16;8436;6196;600;230
2018-12-17;8908;6640;410;235
2018-12-18;7757;5590;624;197
2018-12-19;7374;5458;537;205
2018-12-20;5937;4378;494;157
2018-12-21;27450;20233;774;681
2018-12-22;8918;6156;460;202
2018-12-23;7576;5159;548;171
2018-12-24;11614;8040;644;257
2018-12-25;10427;7178;511;231
2018-12-26;11093;7506;302;237
2018-12-27;4140;2811;408;101
2018-12-28;14495;10690;595;359
2018-12-29;8044;5522;371;178
2018-12-30;10294;6986;484;220
2018-12-31;15065;11657;453;419
2019-01-01;7086;4839;559;162
2019-01-02;10787;7715;840;262
2019-01-03;9270;6632;690;233
2019-01-04;9155;6585;699;238
2019-01-05;11993;9039;546;327
2019-01-06;2044;1375;270;49
2019-01-07;10076;7675;449;281
2019-01-08;10693;7919;573;285
2019-01-09;10055;7465;658;271
2019-01-10;9382;6970;420;243
2019-01-11;9208;6854;540;255
2019-01-12;12487;9478;435;340
2019-01-13;12910;9574;331;307
2019-01-14;6940;4991;478;178
2019-01-15;15705;11940;898;455
2019-01-16;13240;10040;418;352
2019-01-17;16443;12241;805;434
2019-01-18;14586;11015;519;393
2019-01-19;10632;7832;512;284
2019-01-20;7963;5857;525;224
2019-01-21;8848;6549;443;228
2019-01-22;11108;8138;645;281
2019-01-23;9444;6882;698;236
2019-01-24;6849;4997;509;182
2019-01-25;9180;6820;484;239
2019-01-26;14521;11052;560;403
2019-01-27;12378;9145;786;332
2019-01-28;7445;5534;564;216
2019-01-29;8310;6182;424;227
2019-01-30;7206;5245;469;184
2019-01-31;9554;7167;650;270
2019-02-01;8334;6044;719;213
2019-02-02;7975;5801;512;205
2019-02-03;10750;8062;476;272
2019-02-04;9498;6921;613;245
2019-02-05;13804;10543;579;395
2019-02-06;15539;11917;705;431
2019-02-07;24380;18193;428;592
2019-02-08;19313;14364;481;465
2019-02-09;10982;8230;385;283
2019-02-10;3840;2584;359;88
2019-02-11;16915;12564;1215;462
2019-02-12;10916;7858;472;261
2019-02-13;6396;4338;698;142
2019-02-14;6859;4752;518;151
2019-02-15;5011;3396;437;109
2019-02-16;5313;3701;429;124
2019-02-17;7116;4932;518;162
2019-02-18;7751;5356;455;169
2019-02-19;4266;2870;408;91
2019-02-20;5823;4191;275;154
2019-02-21;8075;5706;614;186
2019-02-22;2870;1953;320;65
2019-02-23;3991;2794;408;98
2019-02-24;8500;6084;1001;205
2019-02-25;6617;4510;552;149
2019-02-26;7202;5009;511;160
2019-02-27;7265;4888;526;158
2019-02-28;7179;5169;477;173
2019-03-01;11447;8474;393;271
2019-03-02;5306;3632;520;121
2019-03-03;10431;7443;660;243
2019-03-04;9011;6501;378;208
2019-03-05;5276;3659;422;119
2019-03-06;10561;7564;564;247
2019-03-07;10272;7383;387;244
2019-03-08;6900;4821;478;156
2019-03-09;12419;8698;608;282
2019-03-10;3661;2558;230;81
2019-03-11;5144;3466;376;111
2019-03-12;20053;14353;472;456
2019-03-13;13449;10135;487;351
2019-03-14;18045;13689;396;459
2019-03-15;10672;7813;549;268
2019-03-16;7611;5132;834;164
2019-03-17;10155;7171;688;232
2019-03-18;11764;7966;835;248
2019-03-19;8556;5820;462;180
2019-03-20;4076;2747;403;88
2019-03-21;5580;3789;399;119
2019-03-22;4110;2784;338;92
2019-03-23;2879;1950;214;66
2019-03-24;6135;4203;471;134
2019-03-25;5181;3550;466;120
2019-03-26;12542;9216;746;306
2019-03-27;10567;7864;236;263
2019-03-28;16747;12328;409;420
2019-03-29;10012;7423;410;260
2019-03-30;4948;3424;305;115
2019-03-31;5820;3931;408;126
2019-04-01;12719;9648;447;345
2019-04-02;10931;7989;541;281
2019-04-03;9292;6394;743;207
2019-04-04;10944;7797;767;254
2019-04-05;8559;6086;618;204
2019-04-06;5811;3944;485;132
2019-04-07;16007;11306;465;356
2019-04-08;5241;3557;417;111
2019-04-09;17614;13286;1053;451
2019-04-10;9708;6553;857;206
2019-04-11;4001;2720;429;99
2019-04-12;3981;2679;411;85
2019-04-13;15771;11717;410;375
2019-04-14;3371;2268;382;80
2019-04-15;6086;4147;454;137
2019-04-16;3022;2053;302;69
2019-04-17;12080;8996;483;293
2019-04-18;8472;6267;610;207
2019-04-19;7240;5275;495;181
2019-04-20;5959;4285;439;154
2019-04-21;5219;3573;369;119
2019-04-22;6844;4697;281;146
2019-04-23;3692;2534;331;84
2019-04-24;5598;3822;374;124
2019-04-25;4265;2882;430;104
2019-04-26;6875;4699;451;156
2019-04-27;9462;6397;735;194
2019-04-28;15572;10677;469;334
2019-04-29;3478;2389;348;81
2019-04-30;4531;3067;334;102
2019-05-01;4302;2936;250;93
2019-05-02;8704;6078;487;191
2019-05-03;6227;4208;210;133
2019-05-04;10792;7663;352;237
2019-05-05;4029;2717;369;85
2019-05-06;7478;5034;512;167
2019-05-07;7282;5147;486;171
2019-05-08;12561;9434;250;303
2019-05-09;6705;4539;671;144
2019-05-10;6907;4734;562;148
2019-05-11;7249;5049;372;164
2019-05-12;6556;4445;492;137
2019-05-13;7540;5257;516;166
2019-05-14;11011;8273;178;264
2019-05-15;9248;6629;588;229
2019-05-16;5532;3740;380;120
2019-05-17;10054;7332;539;247
2019-05-18;9378;6407;570;197
2019-05-19;17613;13057;538;416
2019-05-20;8753;6092;532;196
2019-05-21;5292;3573;475;116
2019-05-22;13269;9652;565;317
2019-05-23;11999;8426;822;276
2019-05-24;14181;9657;923;292
2019-05-25;8131;5563;749;182
2019-05-26;14303;9941;456;312
2019-05-27;8611;6551;320;227
2019-05-28;9163;6330;942;226
2019-05-29;4016;2783;421;98
2019-05-30;10249;7618;633;272
2019-05-31;9164;6306;902;223
2019-06-01;15217;10686;972;346
2019-06-02;9039;6216;677;199
2019-06-03;4893;3308;432;111
2019-06-04;6245;4248;635;148
2019-06-05;7075;4788;688;171
2019-06-06;7440;5029;743;181
2019-06-07;8314;5950;701;207
2019-06-08;12330;8628;593;280
2019-06-09;7876;5580;281;176
2019-06-10;6766;4597;755;163
2019-06-11;8009;5599;718;202
2019-06-12;8466;5817;843;210
2019-06-13;8057;5544;741;191
2019-06-14;8234;5629;754;190
2019-06-15;12095;8685;622;283
2019-06-16;9393;6696;326;217
2019-06-17;8044;5467;790;190
2019-06-18;10634;7268;997;248
2019-06-19;13527;9239;988;307
2019-06-20;7149;4948;589;161
2019-06-21;14231;9889;473;306
2019-06-22;19147;13385;565;416
2019-06-23;10737;7309;454;226
2019-06-24;11003;7494;361;230
2019-06-25;6426;4372;255;135
2019-06-26;6523;4482;248;142
2019-06-27;5304;3611;187;113
2019-06-28;5471;3711;309;119
2019-06-29;6733;4581;276;143
2019-06-30;14166;9664;592;302
2019-07-01;10532;7257;996;242
2019-07-02;8148;5593;696;197
2019-07-03;6476;4484;596;158
2019-07-04;6130;4189;488;144
2019-07-05;7619;5249;520;176
2019-07-06;10845;7447;908;249
2019-07-07;12860;9356;404;298
2019-07-08;9676;6745;814;229
2019-07-09;10325;7158;720;245
2019-07-10;8232;5653;695;195
2019-07-11;7677;5483;616;199
2019-07-12;12751;8893;849;293
2019-07-13;8500;5954;481;195
2019-07-14;10919;7764;657;263
2019-07-15;10089;6952;860;229
2019-07-16;7140;4931;682;175
2019-07-17;7366;4997;546;167
2019-07-18;7846;5339;547;179
2019-07-19;6802;4630;572;153
2019-07-20;12311;8867;716;289
2019-07-21;9717;6650;789;213
2019-07-22;10476;7155;914;231
2019-07-23;5234;3586;428;122
2019-07-24;7284;5059;585;180
2019-07-25;7837;5316;695;176
2019-07-26;13132;9261;536;294
2019-07-27;10071;7250;350;228
2019-07-28;14832;10496;961;345
2019-07-29;14483;9907;1133;334
2019-07-30;4909;3318;552;116
2019-07-31;6096;4150;502;135
2019-08-01;6657;4651;550;159
2019-08-02;8150;5656;551;186
2019-08-03;10124;7582;406;252
2019-08-04;4299;2893;388;98
2019-08-05;6920;4773;475;158
2019-08-06;6385;4354;397;146
2019-08-07;3322;2243;377;83
2019-08-08;12425;9172;403;302
2019-08-09;10923;8184;446;287
2019-08-10;9219;6232;655;204
2019-08-11;7949;5387;586;176
2019-08-12;11597;8003;516;255
2019-08-13;9084;6313;550;200
2019-08-14;5388;3659;466;118
2019-08-15;8752;5945;531;190
2019-08-16;11074;7697;965;251
2019-08-17;5738;3866;459;125
2019-08-18;3147;2175;295;73
2019-08-19;7674;5517;551;198
2019-08-20;7317;4999;668;169
2019-08-21;8762;6257;537;210
2019-08-22;9225;6658;606;225
2019-08-23;7120;4946;598;171
2019-08-24;12551;8591;1109;278
2019-08-25;7227;4903;588;161
2019-08-26;9004;6335;680;220
2019-08-27;7042;4810;647;167
2019-08-28;8855;6047;855;208
2019-08-29;6135;4199;508;143
2019-08-30;5716;3897;491;128
2019-08-31;11899;8406;308;261
2019-09-01;7287;4988;580;166
2019-09-02;6281;4297;592;148
2019-09-03;9636;6830;615;230
2019-09-04;2051;1380;161;50
2019-09-05;11054;8007;706;267
2019-09-06;15930;12323;572;452
2019-09-07;10782;7484;602;240
2019-09-08;8443;5855;514;189
2019-09-09;3684;2487;348;87
2019-09-10;9203;6374;756;218
2019-09-11;12339;8850;603;297
2019-09-12;13637;9498;356;293
2019-09-13;14644;10111;417;316
2019-09-14;9025;6235;191;195
2019-09-15;8712;6161;322;200
2019-09-16;8086;5620;237;180
